ABV (%),Beer ID,Beer Name,Beer Style,Brewery ID,Ounces,Brewery Name,City,State
4.9,1426,Back East Golden Ale,American Blonde Ale,235,12.0,Back East Brewing Company,Bloomfield, CT
7.000000000000001,1132,Misty Mountain IPA,American IPA,235,12.0,Back East Brewing Company,Bloomfield, CT
5.0,1131,Back East Ale,American Amber / Red Ale,235,12.0,Back East Brewing Company,Bloomfield, CT
6.0,1876,Truck Stop Honey Brown Ale,English Brown Ale,286,12.0,Back Forty Beer Company,Gadsden, AL
6.0,1875,Naked Pig Pale Ale,American Pale Ale (APA),286,12.0,Back Forty Beer Company,Gadsden, AL
6.800000000000001,966,Topcutter India Pale Ale,American IPA,483,12.0,Bale Breaker Brewing Company,Yakima, WA
4.3999999999999995,965,Field 41 Pale Ale,American Pale Ale (APA),483,12.0,Bale Breaker Brewing Company,Yakima, WA
7.000000000000001,2593,Grapefruit Sculpin,American IPA,34,12.0,Ballast Point Brewing Company,San Diego, CA
3.8,2105,Even Keel,American IPA,34,12.0,Ballast Point Brewing Company,San Diego, CA
5.2,1401,Ballast Point Pale Ale,Kölsch,34,12.0,Ballast Point Brewing Company,San Diego, CA
7.000000000000001,1400,Big Eye India Pale Ale,American IPA,34,12.0,Ballast Point Brewing Company,San Diego, CA
4.6,1019,Longfin Lager,Munich Helles Lager,34,12.0,Ballast Point Brewing Company,San Diego, CA
7.000000000000001,1018,Sculpin IPA,American IPA,34,12.0,Ballast Point Brewing Company,San Diego, CA
4.5,1776,All Nighter Ale,Extra Special / Strong Bitter (ESB),318,12.0,Banner Beer Company,Williamsburg, MA
4.5,1644,Banner American Rye,Rye Beer,318,12.0,Banner Beer Company,Williamsburg, MA
3.5000000000000004,1643,Banner American Ale,American Amber / Red Ale,318,12.0,Banner Beer Company,Williamsburg, MA
7.000000000000001,2618,Thai.p.a,American IPA,20,16.0,Bare Hands Brewery,Granger, IN
6.0,2005,Barrio Blanco,American IPA,251,12.0,Barrio Brewing Company,Tucson, AZ
4.5,1343,Barrio Tucson Blonde,American Blonde Ale,251,12.0,Barrio Brewing Company,Tucson, AZ
