City,State,% Age Over 19
Breckenridge,Colorado,0.8280598558546912
Brenham,Texas,0.7386810063804297
Brevard,North Carolina,0.8222523744911805
Brookhaven,Mississippi,0.7485047076667716
Brookings,Oregon,0.8440231389604358
Brookings,South Dakota,0.7080169750858859
Brownsville,Tennessee,0.7570927998191478
Brownwood,Texas,0.7654744449099288
Bucyrus-Galion,Ohio,0.7611725822675672
Burley,Idaho,0.6736560623103207
"Burlington, I",Illinois,0.7609758275115506
Butte-Silver Bow,Montana,0.7711727994126119
Cadillac,Michigan,0.7512798025738818
Calhoun,Georgia,0.741264144787678
Cambridge,Maryland,0.7706300594047216
Cambridge,Ohio,0.7595267323112284
Camden,Arkansas,0.761563204791659
Campbellsville,Kentucky,0.7450034642647764
Cañon City,Colorado,0.8234026701033004
Carlsbad-Artesia,New Mexico,0.7092807538868184
Carroll,Iowa,0.7326986274888846
Cedar City,Utah,0.6787785654092103
Cedartown,Georgia,0.7212157439764576
Celina,Ohio,0.7160178685386088
Central City,Kentucky,0.7685866944679742
Centralia,Illinois,0.7444771329232415
Centralia,Washington,0.7622810967084528
Charleston-Mattoon,Illinois,0.768044125372089
Chillicothe,Ohio,0.7692317696479432
Clarksburg,West Virginia,0.7755663701963417
Clarksdale,Mississippi,0.6972128784238347
Clearlake,California,0.7629060873105895
Cleveland,Mississippi,0.7240002639567111
Clewiston,Florida,0.7071416168481631
Clinton,Iowa,0.7509631319544584
Clovis,New Mexico,0.7075355736577845
Coffeyville,Kansas,0.7303890101425087
Coldwater,Michigan,0.7457152384128043
Columbus,Mississippi,0.7340154772141014
Columbus,Nebraska,0.7123331678397243
Concord,New Hampshire,0.7878483361032736
Connersville,Indiana,0.7577910958904109
Cookeville,Tennessee,0.7626730697806992
Coos Bay,Oregon,0.801920029538916
Cordele,Georgia,0.7391216862015192
Corinth,Mississippi,0.7537628460799441
Cornelia,Georgia,0.7510582802411596
Corning,New York,0.7639432801136119
Corsicana,Texas,0.7073015991491108
Cortland,New York,0.7518300187860335
Coshocton,Ohio,0.7382707957834944
Craig,Colorado,0.7298445202882063
Crawfordsville,Indiana,0.7431101069279878
Crescent City,California,0.7734875444839857
Crossville,Tennessee,0.8141102624457575
Cullman,Alabama,0.7558773576472692
Cullowhee,North Carolina,0.7652312932262886
Danville,Kentucky,0.7504455355519185
Danville,Virginia,0.7789836280544492
Dayton,Tennessee,0.7524444712699179
Decatur,Indiana,0.6613831650955202
Defiance,Ohio,0.7445994127516778
Del Rio,Texas,0.6858968968127155
Deming,New Mexico,0.7083268055773148
DeRidder,Louisiana,0.7270664771484802
Dickinson,North Dakota,0.7035087203317549
Dixon,Illinois,0.7838409351229111
Dodge City,Kansas,0.6689013144412893
Douglas,Georgia,0.7284122293682523
Dublin,Georgia,0.7417131958223739
DuBois,Pennsylvania,0.8011163557353712
Dumas,Texas,0.6589165640685671
Duncan,Oklahoma,0.7471307009204944
Durango,Colorado,0.7890133333333333
Durant,Oklahoma,0.738116972720518
Dyersburg,Tennessee,0.739642223132596
Eagle Pass,Texas,0.658364337880667
Easton,Maryland,0.8016265348429278
Edwards,Colorado,0.7704523839431514
Effingham,Illinois,0.7409817020040662
El Campo,Texas,0.7146520936698545
El Dorado,Arkansas,0.7387584767866457
Elizabeth City,North Carolina,0.7652314136902003
Elk City,Oklahoma,0.7263449151773564
Elkins,West Virginia,0.7894698985830396
